Algorithm,TextSize,PatternSize,DataType,Comparisons,Time(ns)
KMP,10000,5,English,4623,1387700
RabinKarp,10000,5,English,4679,615100
BoyerMoore,10000,5,English,988,229700
KMP,10000,5,English,4545,1101000
RabinKarp,10000,5,English,4605,533400
BoyerMoore,10000,5,English,971,169400
KMP,10000,5,English,3983,1001800
RabinKarp,10000,5,English,4019,521400
BoyerMoore,10000,5,English,862,160300
KMP,10000,20,English,948,219500
RabinKarp,10000,20,English,958,110900
BoyerMoore,10000,20,English,75,17500
KMP,10000,20,English,1021,253400
RabinKarp,10000,20,English,1037,124700
BoyerMoore,10000,20,English,81,17400
KMP,10000,20,English,4791,1130700
RabinKarp,10000,20,English,4842,562200
BoyerMoore,10000,20,English,319,58500
KMP,10000,50,English,9830,2371600
RabinKarp,10000,50,English,9939,1151600
BoyerMoore,10000,50,English,359,115000
KMP,10000,50,English,8448,2021900
RabinKarp,10000,50,English,8543,986500
BoyerMoore,10000,50,English,314,72700
KMP,10000,50,English,7146,1668000
RabinKarp,10000,50,English,7232,831300
BoyerMoore,10000,50,English,256,49600
KMP,10000,100,English,4671,1042700
RabinKarp,10000,100,English,4723,516900
BoyerMoore,10000,100,English,198,43200
KMP,10000,100,English,217,63300
RabinKarp,10000,100,English,219,31300
BoyerMoore,10000,100,English,104,20600
KMP,10000,100,English,6485,1530400
RabinKarp,10000,100,English,6548,727200
BoyerMoore,10000,100,English,244,46000
KMP,10000,500,English,6118,1495100
RabinKarp,10000,500,English,6174,754400
BoyerMoore,10000,500,English,613,103400
KMP,10000,500,English,2320,637000
RabinKarp,10000,500,English,2332,332000
BoyerMoore,10000,500,English,537,93900
KMP,10000,500,English,9207,743000
RabinKarp,10000,500,English,9299,517400
BoyerMoore,10000,500,English,632,126400
KMP,100000,5,English,69013,3880800
RabinKarp,100000,5,English,69665,2009300
BoyerMoore,100000,5,English,14737,2512100
KMP,100000,5,English,62292,3264400
RabinKarp,100000,5,English,62948,1720300
BoyerMoore,100000,5,English,13270,2256300
KMP,100000,5,English,52948,791600
RabinKarp,100000,5,English,53494,1388900
BoyerMoore,100000,5,English,11286,2048800
KMP,100000,20,English,53927,1072000
RabinKarp,100000,20,English,54507,1368500
BoyerMoore,100000,20,English,3328,577700
KMP,100000,20,English,46779,1015500
RabinKarp,100000,20,English,47263,1140700
BoyerMoore,100000,20,English,2839,579100
KMP,100000,20,English,98168,1463700
RabinKarp,100000,20,English,99149,1736700
BoyerMoore,100000,20,English,6109,1055900
KMP,100000,50,English,95475,969900
RabinKarp,100000,50,English,96435,1702600
BoyerMoore,100000,50,English,3174,654300
KMP,100000,50,English,2985,38500
RabinKarp,100000,50,English,3012,117400
BoyerMoore,100000,50,English,143,38700
KMP,100000,50,English,75000,938200
RabinKarp,100000,50,English,75755,1462600
BoyerMoore,100000,50,English,2401,274400
KMP,100000,100,English,1073,17100
RabinKarp,100000,100,English,1079,41800
BoyerMoore,100000,100,English,118,30000
KMP,100000,100,English,32675,399700
RabinKarp,100000,100,English,33002,849800
BoyerMoore,100000,100,English,846,110900
KMP,100000,100,English,7154,89600
RabinKarp,100000,100,English,7235,356400
BoyerMoore,100000,100,English,258,40200
KMP,100000,500,English,62698,763900
RabinKarp,100000,500,English,63336,1289500
BoyerMoore,100000,500,English,1731,150900
KMP,100000,500,English,48856,591100
RabinKarp,100000,500,English,49324,1148300
BoyerMoore,100000,500,English,1384,98500
KMP,100000,500,English,33716,417100
RabinKarp,100000,500,English,34066,245000
BoyerMoore,100000,500,English,1106,104800
KMP,1000000,5,English,984723,9625500
RabinKarp,1000000,5,English,994761,6399600
BoyerMoore,1000000,5,English,209748,6942500
KMP,1000000,5,English,118138,1218900
RabinKarp,1000000,5,English,119348,802000
BoyerMoore,1000000,5,English,25158,757300
KMP,1000000,5,English,58732,669900
RabinKarp,1000000,5,English,59278,390800
BoyerMoore,1000000,5,English,12544,632600
KMP,1000000,20,English,97968,948200
RabinKarp,1000000,20,English,98989,626800
BoyerMoore,1000000,20,English,5859,201600
KMP,1000000,20,English,620847,6317400
RabinKarp,1000000,20,English,627268,4064800
BoyerMoore,1000000,20,English,37897,403300
KMP,1000000,20,English,56315,653700
RabinKarp,1000000,20,English,56902,373500
BoyerMoore,1000000,20,English,3439,32700
KMP,1000000,50,English,682862,6356500
RabinKarp,1000000,50,English,689874,4186400
BoyerMoore,1000000,50,English,21645,205600
KMP,1000000,50,English,189236,1709800
RabinKarp,1000000,50,English,191141,1161300
BoyerMoore,1000000,50,English,5813,52300
KMP,1000000,50,English,169625,1585500
RabinKarp,1000000,50,English,171306,1029200
BoyerMoore,1000000,50,English,5468,49000
KMP,1000000,100,English,246828,2200200
RabinKarp,1000000,100,English,249357,1609400
BoyerMoore,1000000,100,English,5484,61600
KMP,1000000,100,English,604306,5423600
RabinKarp,1000000,100,English,610402,3635500
BoyerMoore,1000000,100,English,14644,151300
KMP,1000000,100,English,811034,7534900
RabinKarp,1000000,100,English,819024,4773900
BoyerMoore,1000000,100,English,19409,177200
KMP,1000000,500,English,376045,3270800
RabinKarp,1000000,500,English,379870,2226800
BoyerMoore,1000000,500,English,6540,62100
KMP,1000000,500,English,924140,8035600
RabinKarp,1000000,500,English,933430,5333500
BoyerMoore,1000000,500,English,18774,162200
KMP,1000000,500,English,609145,5472600
RabinKarp,1000000,500,English,615330,3502600
BoyerMoore,1000000,500,English,13363,116600
KMP,10000,5,DNA,1320,15500
RabinKarp,10000,5,DNA,1291,7400
BoyerMoore,10000,5,DNA,646,6800
KMP,10000,5,DNA,75,1100
RabinKarp,10000,5,DNA,76,500
BoyerMoore,10000,5,DNA,33,600
KMP,10000,5,DNA,74,1100
RabinKarp,10000,5,DNA,75,500
BoyerMoore,10000,5,DNA,59,700
KMP,10000,20,DNA,56,1000
RabinKarp,10000,20,DNA,57,500
BoyerMoore,10000,20,DNA,40,600
KMP,10000,20,DNA,5584,66100
RabinKarp,10000,20,DNA,5619,31700
BoyerMoore,10000,20,DNA,1637,16700
KMP,10000,20,DNA,469,5700
RabinKarp,10000,20,DNA,454,2800
BoyerMoore,10000,20,DNA,232,2600
KMP,10000,50,DNA,3247,38700
RabinKarp,10000,50,DNA,3270,19000
BoyerMoore,10000,50,DNA,1369,14200
KMP,10000,50,DNA,2130,25600
RabinKarp,10000,50,DNA,2153,12500
BoyerMoore,10000,50,DNA,629,6600
KMP,10000,50,DNA,8331,110200
RabinKarp,10000,50,DNA,8346,49100
BoyerMoore,10000,50,DNA,5580,56300
KMP,10000,100,DNA,637,9200
RabinKarp,10000,100,DNA,646,4500
BoyerMoore,10000,100,DNA,330,4000
KMP,10000,100,DNA,6002,68600
RabinKarp,10000,100,DNA,6030,34700
BoyerMoore,10000,100,DNA,1897,19900
KMP,10000,100,DNA,2824,35500
RabinKarp,10000,100,DNA,2767,16400
BoyerMoore,10000,100,DNA,1032,11000
KMP,10000,500,DNA,4846,63700
RabinKarp,10000,500,DNA,4865,30800
BoyerMoore,10000,500,DNA,2493,28100
KMP,10000,500,DNA,9166,125100
RabinKarp,10000,500,DNA,9285,55700
BoyerMoore,10000,500,DNA,6114,64200
KMP,10000,500,DNA,2015,31300
RabinKarp,10000,500,DNA,2036,15100
BoyerMoore,10000,500,DNA,945,12400
KMP,100000,5,DNA,800,9100
